"Id";"ZipCode";"Place"
1284;2108;"Couvet"
1285;2108;"Couvet"
1286;2112;"Môtiers NE"
1287;2113;"Boveresse"
1288;2114;"Fleurier"
1289;2115;"Buttes"
1290;2116;"Mont-de-Buttes"
1291;2117;"La Côte-aux-Fées"
1292;2123;"St-Sulpice NE"
1293;2124;"Les Sagnettes"
1294;2124;"Les Sagnettes"
1295;2126;"Les Verrières"
1296;2126;"Les Verrières"
1297;2127;"Les Bayards"
1298;2149;"Champ-du-Moulin"
1299;2149;"Champ-du-Moulin"
1300;2149;"Fretereules"
1301;2149;"Brot-Dessous"
1302;2206;"Geneveys-Coffrane"
1303;2207;"Coffrane"
1304;2208;"Les Hauts-Geneveys"
1305;2300;"La Chaux-de-Fonds"
1306;2300;"La Cibourg"
1307;2314;"La Sagne NE"
1308;2314;"La Sagne NE"
1309;2316;"Ponts-de-Martel"
1310;2316;"Petit-Martel"
1311;2318;"Brot-Plamboz"
1312;2318;"Brot-Plamboz"
1313;2318;"Brot-Plamboz"
1314;2322;"Le Crêt-du-Locle"
1315;2322;"Le Crêt-du-Locle"
1316;2325;"Les Planchettes"
1317;2333;"La Ferrière"
1318;2333;"La Ferrière"
1319;2333;"La Cibourg"
1320;2336;"Les Bois"
1321;2336;"Les Bois"
1322;2338;"Les Emibois"
1323;2338;"Muriaux"
1324;2340;"Le Noirmont"
1325;2345;"Les Breuleux"
1326;2345;"Les Breuleux"
1327;2345;"Les Breuleux"
1328;2345;"Les Breuleux"
1329;2345;"Le Cerneux-Veusil"
1330;2345;"Le Cerneux-Veusil"
1331;2345;"Le Cerneux-Veusil"
1332;2345;"Chaux-des-Breuleux"
1333;2350;"Saignelégier"
1334;2353;"Les Pommerats"
1335;2353;"Les Pommerats"
1336;2354;"Goumois"
1337;2360;"Le Bémont JU"
1338;2362;"Montfaucon"
1339;2362;"Montfavergier"
1340;2363;"Les Enfers"
1341;2363;"Les Enfers"
1342;2364;"St-Brais"
1343;2400;"Le Locle"
1344;2400;"Le Locle"
1345;2400;"Le Prévoux"
1346;2400;"Le Prévoux"
1347;2400;"Le Prévoux"
1348;2405;"La Chaux-du-Milieu"
1349;2405;"La Chaux-du-Milieu"
1350;2406;"La Brévine"
1351;2406;"La Brévine"
1352;2406;"Les Taillères"
